LABELS
SEPARATOR TAB
DATA
BLAN-4-1-No|nifH|consensus50|strict_single_dominant	BLAN-4-1-No|nifH|consensus50|strict_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 85.9% id | 89.0% qcov
DEJU-60-Rh|nifH|consensus50|strict_single_dominant	DEJU-60-Rh|nifH|consensus50|strict_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 87.3% id | 78.3% qcov
DSNY-84-2-Ro|nifH|consensus50|strict_single_dominant	DSNY-84-2-Ro|nifH|consensus50|strict_single_dominant | closest: Ensifer_canadensis | 88.5% id | 75.1% qcov
TALL-20-1-Rh|nifH|consensus50|strict_single_dominant	TALL-20-1-Rh|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 86.1% id | 75.7% qcov
JERC-135-3-Rh|nifH|consensus50|strict_single_dominant	JERC-135-3-Rh|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 87.4% id | 91.6% qcov
JERC-91-1-Rh|nifH|consensus50|strict_single_dominant	JERC-91-1-Rh|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 86.3% id | 80.8% qcov
TALL-22-Ro|nifH|consensus50|strict_single_dominant	TALL-22-Ro|nifH|consensus50|strict_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 89.0% id | 78.2% qcov
OSBS-100-3-Rh|nifH|consensus50|strict_single_dominant	OSBS-100-3-Rh|nifH|consensus50|strict_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 87.4% id | 92.1% qcov
HEAL-2-1-Rh|nifH|consensus50|strict_single_dominant	HEAL-2-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 89.8% id | 74.1% qcov
HARV-1-3-Ro|nifH|consensus50|strict_single_dominant	HARV-1-3-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 96.2% id | 35.6% qcov
RMNP-4-Rh|nifH|consensus50|strict_single_dominant	RMNP-4-Rh|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 87.6% id | 91.9% qcov
JERC-204-1-No|nifH|consensus50|strict_single_dominant	JERC-204-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 88.6% id | 93.8% qcov
OSBS-49-1-Rh|nifH|consensus50|strict_single_dominant	OSBS-49-1-Rh|nifH|consensus50|strict_single_dominant | closest: Microvirga_sp._RSM25 | 86.9% id | 73.4% qcov
CLBJ-38-1-Rh|nifH|consensus50|strict_single_dominant	CLBJ-38-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 91.4% id | 65.4% qcov
TALL-49-1-Rh|nifH|consensus50|strict_single_dominant	TALL-49-1-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 89.0% id | 77.3% qcov
DEJU-33-Ro|nifH|consensus50|strict_single_dominant	DEJU-33-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 96.1% id | 43.2% qcov
JERC-180-5-Rh|nifH|consensus50|strict_single_dominant	JERC-180-5-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 94.7% id | 42.8% qcov
TALL-22-Rh|nifH|consensus50|strict_single_dominant	TALL-22-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 88.5% id | 70.5% qcov
JERC-96-2-Rh|nifH|consensus50|strict_single_dominant	JERC-96-2-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 92.0% id | 52.3% qcov
ORNL-19-Ro|nifH|consensus50|strict_single_dominant	ORNL-19-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 95.3% id | 43.4% qcov
OSBS-80-2-Rh|nifH|consensus50|strict_single_dominant	OSBS-80-2-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 93.4% id | 65.3% qcov
JERC-155-Rh|nifH|consensus50|strict_single_dominant	JERC-155-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 88.0% id | 94.0% qcov
DSNY-53-1-Ro|nifH|consensus50|strict_single_dominant	DSNY-53-1-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 94.0% id | 41.6% qcov
GUAN-5-Rh|nifH|consensus50|strict_single_dominant	GUAN-5-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 88.0% id | 93.8% qcov
OSBS-37-1-Rh|nifH|consensus50|strict_single_dominant	OSBS-37-1-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 88.0% id | 92.5% qcov
OSBS-52-1-Rh|nifH|consensus50|strict_single_dominant	OSBS-52-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 93.2% id | 41.6% qcov
JERC-99-3-Rh|nifH|consensus50|strict_single_dominant	JERC-99-3-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 88.2% id | 63.4% qcov
OSBS-66-1-Rh|nifH|consensus50|strict_single_dominant	OSBS-66-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 89.2% id | 93.8% qcov
JERC-188-1-No|nifH|consensus50|strict_single_dominant	JERC-188-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 90.5% id | 74.1% qcov
DSNY-GARE-35-1-Rh|nifH|consensus50|strict_single_dominant	DSNY-GARE-35-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 88.1% id | 93.8% qcov
OSBS-51-1-Rh|nifH|consensus50|strict_single_dominant	OSBS-51-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 84.6% id | 74.0% qcov
KONZ-6-1-Rh|nifH|consensus50|strict_single_dominant	KONZ-6-1-Rh|nifH|consensus50|strict_single_dominant | closest: Microvirga_sp._KLBC_81 | 88.2% id | 91.9% qcov
DSNY-83-1-Rh|nifH|consensus50|strict_single_dominant	DSNY-83-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 87.6% id | 93.8% qcov
GUAN-2-Rh|nifH|consensus50|strict_single_dominant	GUAN-2-Rh|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 87.9% id | 91.6% qcov
ORNL-12-1-Ro|nifH|consensus50|strict_single_dominant	ORNL-12-1-Ro|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 88.5% id | 91.6% qcov
KONZ-9-2-Rh|nifH|consensus50|strict_single_dominant	KONZ-9-2-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 87.4% id | 81.7% qcov
OSBS-28-1-No|nifH|consensus50|strict_single_dominant	OSBS-28-1-No|nifH|consensus50|strict_single_dominant | closest: Microvirga_sp._KLBC_81 | 88.7% id | 91.9% qcov
TALL-12-2-Rh|nifH|consensus50|strict_single_dominant	TALL-12-2-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 90.8% id | 68.5% qcov
TALL-13-3-Ro|nifH|consensus50|strict_single_dominant	TALL-13-3-Ro|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 88.0% id | 91.9% qcov
TALL-7-2-Ro|nifH|consensus50|strict_single_dominant	TALL-7-2-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 93.4% id | 40.9% qcov
JERC-160-Rh|nifH|consensus50|strict_single_dominant	JERC-160-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 86.8% id | 91.7% qcov
JERC-197-1-No|nifH|consensus50|strict_single_dominant	JERC-197-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 87.8% id | 91.9% qcov
TOOL-8-Rh|nifH|consensus50|strict_single_dominant	TOOL-8-Rh|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 88.0% id | 91.9% qcov
TOOL-5-No|nifH|consensus50|strict_single_dominant	TOOL-5-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 87.1% id | 91.4% qcov
DSNY-30-1-No|nifH|consensus50|strict_single_dominant	DSNY-30-1-No|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 87.5% id | 91.6% qcov
DSNY-28-1-Rh|nifH|consensus50|strict_single_dominant	DSNY-28-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 94.5% id | 42.8% qcov
JERC-145-1-Rh|nifH|consensus50|strict_single_dominant	JERC-145-1-Rh|nifH|consensus50|strict_single_dominant | closest: Microvirga_sp._KLBC_81 | 88.9% id | 91.9% qcov
DSNY-57-1-Rh|nifH|consensus50|strict_single_dominant	DSNY-57-1-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 88.6% id | 92.4% qcov
DSNY-59-Ro|nifH|consensus50|strict_single_dominant	DSNY-59-Ro|nifH|consensus50|strict_single_dominant | closest: Azorhizobium_oxalatiphilum | 89.6% id | 74.1% qcov
DSNY-81-1-No|nifH|consensus50|strict_single_dominant	DSNY-81-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 83.7% id | 93.7% qcov
DSNY-74-1-No|nifH|consensus50|strict_single_dominant	DSNY-74-1-No|nifH|consensus50|strict_single_dominant | closest: Azorhizobium_oxalatiphilum | 83.6% id | 95.7% qcov
HARV-1-2-Ro|nifH|consensus50|strict_single_dominant	HARV-1-2-Ro|nifH|consensus50|strict_single_dominant | closest: Azorhizobium_oxalatiphilum | 93.3% id | 35.5% qcov
DSNY-28-1-Ro|nifH|consensus50|strict_single_dominant	DSNY-28-1-Ro|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 88.3% id | 91.9% qcov
OSBS-71-1-Rh|nifH|consensus50|strict_single_dominant	OSBS-71-1-Rh|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 87.2% id | 91.6% qcov
TALL-15-2-Rh|nifH|consensus50|strict_single_dominant	TALL-15-2-Rh|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 86.3% id | 88.3% qcov
TALL-8-2-Rh|nifH|consensus50|strict_single_dominant	TALL-8-2-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 89.9% id | 68.5% qcov
TALL-19-2-Ro|nifH|consensus50|strict_single_dominant	TALL-19-2-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 96.1% id | 37.6% qcov
OSBS-82-1-Ro|nifH|consensus50|strict_single_dominant	OSBS-82-1-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 88.9% id | 93.7% qcov
N38-2-D-No|nifH|consensus50|strict_single_dominant	N38-2-D-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 87.1% id | 94.0% qcov
N38-2-D-Ro|nifH|consensus50|strict_single_dominant	N38-2-D-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 88.7% id | 94.1% qcov
ORNL-3-2-Ro|nifH|consensus50|strict_single_dominant	ORNL-3-2-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 90.8% id | 41.7% qcov
DEJU-12-1-No|nifH|consensus50|strict_single_dominant	DEJU-12-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 91.7% id | 50.4% qcov
JERC-161-Rh|nifH|consensus50|strict_single_dominant	JERC-161-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 86.3% id | 91.9% qcov
OSBS-21-2-No|nifH|consensus50|strict_single_dominant	OSBS-21-2-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 88.0% id | 91.9% qcov
YELL-1-2-Rh|nifH|consensus50|strict_single_dominant	YELL-1-2-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 94.8% id | 41.2% qcov
LENO-1-1-Rh|nifH|consensus50|strict_single_dominant	LENO-1-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 90.5% id | 74.1% qcov
OSBS-12-1-No|nifH|consensus50|strict_single_dominant	OSBS-12-1-No|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 89.2% id | 68.6% qcov
BONA-13-1-Rh|nifH|consensus50|strict_single_dominant	BONA-13-1-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 87.8% id | 69.8% qcov
DSNY-27-1-Ro|nifH|consensus50|strict_single_dominant	DSNY-27-1-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 93.8% id | 39.9% qcov
DELA-2-2-No|nifH|consensus50|strict_single_dominant	DELA-2-2-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 90.4% id | 69.7% qcov
OSBS-8-5-Rh|nifH|consensus50|strict_single_dominant	OSBS-8-5-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 92.4% id | 70.7% qcov
DEJU-58-Ro|nifH|consensus50|strict_single_dominant	DEJU-58-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 95.6% id | 41.2% qcov
JERC-169-Rh|nifH|consensus50|strict_single_dominant	JERC-169-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 87.9% id | 91.6% qcov
TALL-26-3-Rh|nifH|consensus50|strict_single_dominant	TALL-26-3-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 87.4% id | 92.1% qcov
TOOL-5-Rh|nifH|consensus50|strict_single_dominant	TOOL-5-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 89.1% id | 91.1% qcov
OSBS-81-1-Rh|nifH|consensus50|strict_single_dominant	OSBS-81-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 87.1% id | 93.8% qcov
YELL-5-3-Ro|nifH|consensus50|strict_single_dominant	YELL-5-3-Ro|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 88.1% id | 69.6% qcov
CLBJ-28-3-Rh|nifH|consensus50|strict_single_dominant	CLBJ-28-3-Rh|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 87.5% id | 91.9% qcov
GUAN-10-Ro|nifH|consensus50|strict_single_dominant	GUAN-10-Ro|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 89.8% id | 69.9% qcov
DELA-32-1-Rh|nifH|consensus50|strict_single_dominant	DELA-32-1-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 90.5% id | 58.7% qcov
LENO-8-3-Ro|nifH|consensus50|strict_single_dominant	LENO-8-3-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 92.0% id | 52.4% qcov
DELA-8-2-Rh|nifH|consensus50|strict_single_dominant	DELA-8-2-Rh|nifH|consensus50|strict_single_dominant | closest: Microvirga_sp._RSM25 | 88.1% id | 78.1% qcov
DSNY-86-1-Rh|nifH|consensus50|strict_single_dominant	DSNY-86-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 93.2% id | 59.5% qcov
CLBJ-14-1-Ro|nifH|consensus50|strict_single_dominant	CLBJ-14-1-Ro|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 90.4% id | 51.3% qcov
UNDE-1-2-Ro|nifH|consensus50|strict_single_dominant	UNDE-1-2-Ro|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 90.9% id | 68.6% qcov
DSNY-27-1-Rh|nifH|consensus50|strict_single_dominant	DSNY-27-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 95.4% id | 41.4% qcov
LENO-2-1-Rh|nifH|consensus50|strict_single_dominant	LENO-2-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 85.4% id | 93.4% qcov
DSNY-54-1-Rh|nifH|consensus50|strict_single_dominant	DSNY-54-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 92.4% id | 52.0% qcov
CLBJ-7-1-No|nifH|consensus50|strict_single_dominant	CLBJ-7-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 91.2% id | 91.6% qcov
OSBS-20-1-Ro|nifH|consensus50|strict_single_dominant	OSBS-20-1-Ro|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 90.6% id | 91.6% qcov
JERC-88-1-Rh|nifH|consensus50|strict_single_dominant	JERC-88-1-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 90.5% id | 92.6% qcov
OAES-37-2-Rh|nifH|consensus50|strict_single_dominant	OAES-37-2-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 89.3% id | 92.1% qcov
N38-2-D-Rh|nifH|consensus50|strict_single_dominant	N38-2-D-Rh|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 87.4% id | 91.7% qcov
GUAN-7-1-Ro|nifH|consensus50|strict_single_dominant	GUAN-7-1-Ro|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 91.2% id | 69.8% qcov
DEJU-10-1-Ro|nifH|consensus50|strict_single_dominant	DEJU-10-1-Ro|nifH|consensus50|strict_single_dominant | closest: Rhizobium_sophoriradicis | 87.5% id | 94.6% qcov
JERC-170-Rh|nifH|consensus50|strict_single_dominant	JERC-170-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 90.4% id | 70.9% qcov
DEJU-51-1-Ro|nifH|consensus50|strict_single_dominant	DEJU-51-1-Ro|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 90.8% id | 54.8% qcov
JERC-127-2-Ro|nifH|consensus50|strict_single_dominant	JERC-127-2-Ro|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 89.4% id | 92.2% qcov
CLBJ-31-2-No|nifH|consensus50|strict_single_dominant	CLBJ-31-2-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 88.8% id | 65.3% qcov
DEJU-1-1-No|nifH|consensus50|strict_single_dominant	DEJU-1-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 88.8% id | 91.3% qcov
DEJU-42-No|nifH|consensus50|strict_single_dominant	DEJU-42-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 88.6% id | 91.3% qcov
DEJU-62-1-No|nifH|consensus50|strict_single_dominant	DEJU-62-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 89.7% id | 91.6% qcov
DEJU-46-Ro|nifH|consensus50|strict_single_dominant	DEJU-46-Ro|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 88.2% id | 91.3% qcov
DEJU-3-1-No|nifH|consensus50|strict_single_dominant	DEJU-3-1-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 87.7% id | 78.4% qcov
DEJU-2-No|nifH|consensus50|strict_single_dominant	DEJU-2-No|nifH|consensus50|strict_single_dominant | closest: Sinorhizobium_fredii_(Rhizobium_fredii) | 88.1% id | 73.3% qcov
DEJU-13-1-No|nifH|consensus50|strict_single_dominant	DEJU-13-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 90.9% id | 38.4% qcov
DEJU-43-No|nifH|consensus50|strict_single_dominant	DEJU-43-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 88.1% id | 69.7% qcov
DEJU-38-No|nifH|consensus50|strict_single_dominant	DEJU-38-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 90.5% id | 41.7% qcov
DEJU-40-No|nifH|consensus50|strict_single_dominant	DEJU-40-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 84.1% id | 91.9% qcov
DEJU-60-No|nifH|consensus50|strict_single_dominant	DEJU-60-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 88.0% id | 65.0% qcov
DEJU-45-1-No|nifH|consensus50|strict_single_dominant	DEJU-45-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 86.7% id | 73.9% qcov
DEJU-37-No|nifH|consensus50|strict_single_dominant	DEJU-37-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 87.8% id | 89.3% qcov
DEJU-39-No|nifH|consensus50|strict_single_dominant	DEJU-39-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 85.4% id | 91.3% qcov
DEJU-36-No|nifH|consensus50|strict_single_dominant	DEJU-36-No|nifH|consensus50|strict_single_dominant | closest: Paenirhizobium_cremeum | 82.0% id | 73.7% qcov
SJER-1-1-No|nifH|consensus50|strict_single_dominant	SJER-1-1-No|nifH|consensus50|strict_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 85.8% id | 78.0% qcov
TEAK-3-1-No|nifH|consensus50|strict_single_dominant	TEAK-3-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 85.1% id | 74.1% qcov
DEJU-2-Ro|nifH|consensus50|strict_single_dominant	DEJU-2-Ro|nifH|consensus50|strict_single_dominant | closest: Burkholderia_multivorans | 84.0% id | 66.1% qcov
DEJU-44-Rh|nifH|consensus50|strict_single_dominant	DEJU-44-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 91.6% id | 41.8% qcov
DEJU-47-Ro|nifH|consensus50|strict_single_dominant	DEJU-47-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 91.1% id | 41.8% qcov
DEJU-11-1-Rh|nifH|consensus50|strict_single_dominant	DEJU-11-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 92.1% id | 41.2% qcov
JERC-27-2-Rh|nifH|consensus50|strict_single_dominant	JERC-27-2-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 92.3% id | 63.2% qcov
DELA-6-3-No|nifH|consensus50|strict_single_dominant	DELA-6-3-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._BLXBL-03 | 85.7% id | 75.2% qcov
N49-3-D-No|nifH|consensus50|strict_single_dominant	N49-3-D-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._Pa8 | 92.0% id | 73.4% qcov
LAJA-3-1-No|nifH|consensus50|strict_single_dominant	LAJA-3-1-No|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 85.6% id | 93.4% qcov
TOOL-15-Rh|nifH|consensus50|strict_single_dominant	TOOL-15-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_ottawaense | 90.8% id | 35.5% qcov
KONZ-14-1-No|nifH|consensus50|strict_single_dominant	KONZ-14-1-No|nifH|consensus50|strict_single_dominant | closest: Burkholderia_multivorans | 83.3% id | 73.9% qcov
TALL-55-1-Rh|nifH|consensus50|strict_single_dominant	TALL-55-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 92.3% id | 41.4% qcov
DSNY-44-1-No|nifH|consensus50|strict_single_dominant	DSNY-44-1-No|nifH|consensus50|strict_single_dominant | closest: Burkholderia_vietnamiensis | 84.9% id | 97.1% qcov
DSNY-56-1-No|nifH|consensus50|strict_single_dominant	DSNY-56-1-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 89.9% id | 74.1% qcov
DSNY-57-No|nifH|consensus50|strict_single_dominant	DSNY-57-No|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 91.3% id | 73.9% qcov
DSNY-90-No|nifH|consensus50|strict_single_dominant	DSNY-90-No|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 87.9% id | 70.1% qcov
LENO-2-1-Ro|nifH|consensus50|strict_single_dominant	LENO-2-1-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 88.0% id | 91.5% qcov
CLBJ-41-1-Rh|nifH|consensus50|strict_single_dominant	CLBJ-41-1-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 86.7% id | 67.4% qcov
GRSM-4-2-Rh|nifH|consensus50|strict_single_dominant	GRSM-4-2-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._Pa8 | 86.1% id | 40.3% qcov
DEJU-8-1-Rh|nifH|consensus50|strict_single_dominant	DEJU-8-1-Rh|nifH|consensus50|strict_single_dominant | closest: Microvirga_sp._KLBC_81 | 85.1% id | 91.1% qcov
DSNY-CLFR-60-No|nifH|consensus50|strict_single_dominant	DSNY-CLFR-60-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 86.4% id | 68.5% qcov
JERC-159-2-No|nifH|consensus50|strict_single_dominant	JERC-159-2-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 91.4% id | 57.5% qcov
JERC-100-1-Ro|nifH|consensus50|strict_single_dominant	JERC-100-1-Ro|nifH|consensus50|strict_single_dominant | closest: Microvirga_lotononidis | 88.2% id | 70.2% qcov
JERC-147-Ro|nifH|consensus50|strict_single_dominant	JERC-147-Ro|nifH|consensus50|strict_single_dominant | closest: Microvirga_sp._RSM25 | 88.7% id | 86.5% qcov
JERC-107-1-Ro|nifH|consensus50|strict_single_dominant	JERC-107-1-Ro|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 94.8% id | 41.4% qcov
CLBJ-23-1-No|nifH|consensus50|strict_single_dominant	CLBJ-23-1-No|nifH|consensus50|strict_single_dominant | closest: Neorhizobium_alkalisoli | 89.5% id | 99.7% qcov
JERC-160-Ro|nifH|consensus50|strict_single_dominant	JERC-160-Ro|nifH|consensus50|strict_single_dominant | closest: Neorhizobium_alkalisoli | 90.9% id | 99.0% qcov
OSBS-68-1-Rh|nifH|consensus50|strict_single_dominant	OSBS-68-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._PUT101 | 87.1% id | 93.9% qcov
CLBJ-40-1-Rh|nifH|consensus50|strict_single_dominant	CLBJ-40-1-Rh|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._WSM4083 | 87.8% id | 77.7% qcov
TALL-59-1-Rh|nifH|consensus50|strict_single_dominant	TALL-59-1-Rh|nifH|consensus50|strict_single_dominant | closest: Azorhizobium_oxalatiphilum | 85.7% id | 59.9% qcov
