DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Site
COLOR	#000000
STRIP_WIDTH	35
MARGIN	5
SHOW_INTERNAL	0
DATA
BLAN-4-1-No|nifH|consensus50|strict_single_dominant	#E16A86	BLAN
TALL-48-2-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
JERC-6-3-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
OAES-1-1-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-4-1-Ro|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-7-1-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-7-1-Rh|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-7-1-Ro|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-4-1-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-16-1-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-25-1-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-16-1-Rh|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
NIWO-1-No|nifH|consensus50|strict_single_dominant	#00ADA1	NIWO
SJER-2-3-No|nifH|consensus50|strict_single_dominant	#7E89E6	SJER
TEAK-2-1-No|nifH|consensus50|strict_single_dominant	#BC72DE	TEAK
ORNL-4-1-No|nifH|consensus50|strict_single_dominant	#00A6C8	ORNL
OAES-29-1-Ro|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-20-Rh|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-21-3-Rh|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
CLBJ-19-1-Rh|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
RMNP-1-Ro|nifH|consensus50|strict_single_dominant	#009DDA	RMNP
TALL-92-1-Ro|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TEAK-2-1-Rh|nifH|consensus50|strict_single_dominant	#BC72DE	TEAK
DSNY-15-1-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
OSBS-104-1-Rh|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
DEJU-54-No|nifH|consensus50|strict_single_dominant	#C38401	DEJU
TALL-19-2-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
KONZ-1-Rh|nifH|consensus50|strict_single_dominant	#00AA5E	KONZ
SCBI-3-1-Rh|nifH|consensus50|strict_single_dominant	#2798E0	SCBI
CPER-3-1-No|nifH|consensus50|strict_single_dominant	#D3794C	CPER
CPER-4-No|nifH|consensus50|strict_single_dominant	#D3794C	CPER
NOGP-1-1-No|nifH|consensus50|strict_single_dominant	#00ABAF	NOGP
WOOD-3-2-No|nifH|consensus50|strict_single_dominant	#E264A6	WOOD
DCFS-2-2-No|nifH|consensus50|strict_single_dominant	#CC7F32	DCFS
WOOD-7-1-No|nifH|consensus50|strict_single_dominant	#E264A6	WOOD
WOOD-12-No|nifH|consensus50|strict_single_dominant	#E264A6	WOOD
NOGP-3-2-No|nifH|consensus50|strict_single_dominant	#00ABAF	NOGP
CPER-3-1-Rh|nifH|consensus50|strict_single_dominant	#D3794C	CPER
CPER-5-1-No|nifH|consensus50|strict_single_dominant	#D3794C	CPER
CPER-5-1-Rh|nifH|consensus50|strict_single_dominant	#D3794C	CPER
NOGP-5-2-Ro|nifH|consensus50|strict_single_dominant	#00ABAF	NOGP
WOOD-6-1-No|nifH|consensus50|strict_single_dominant	#E264A6	WOOD
OAES-14-1-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-2-1-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
NOGP-2-1-Ro|nifH|consensus50|strict_single_dominant	#00ABAF	NOGP
NOGP-4-1-Ro|nifH|consensus50|strict_single_dominant	#00ABAF	NOGP
OAES-22-1-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-2-1-Ro|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
NOGP-6-3-Ro|nifH|consensus50|strict_single_dominant	#00ABAF	NOGP
DCFS-8-1-No|nifH|consensus50|strict_single_dominant	#CC7F32	DCFS
NOGP-2-1-No|nifH|consensus50|strict_single_dominant	#00ABAF	NOGP
WOOD-11-1-No|nifH|consensus50|strict_single_dominant	#E264A6	WOOD
NOGP-3-2-Ro|nifH|consensus50|strict_single_dominant	#00ABAF	NOGP
OAES-36-2-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
OAES-36-3-No|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
SCBI-1-1-Ro|nifH|consensus50|strict_single_dominant	#2798E0	SCBI
DSNY-96-2-Ro|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
WOOD-2-2-Rh|nifH|consensus50|strict_single_dominant	#E264A6	WOOD
SCBI-2-1-Ro|nifH|consensus50|strict_single_dominant	#2798E0	SCBI
OSBS-101-1-Ro|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
DSNY-84-2-Ro|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
JERC-139-5-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
OAES-15-Rh|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
JERC-148-Rh|nifH|consensus50|strict_single_dominant	#5AA200	JERC
TALL-11-1-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
DEJU-23-1-No|nifH|consensus50|strict_single_dominant	#C38401	DEJU
TALL-93-3-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
